code,official_name,category,default_unit,allowed_units,synonyms,active
ABA-231,Bebida Inst Limonada Hierba Buena Mfs 1/1800gr Mayca,Abarrotes,und,und,"Bebida Inst Limonada Hierba Buena Mfs 1/,Bebidas Inst Limonada Hierba Buena Mfs 1/",true
ABA-230,Bebida Inst Naranja Mfs 1/1800gr,Abarrotes,und,und,"Bebida Inst Naranja Mfs 1/,Bebidas Inst Naranja Mfs 1/",true
ABA-229,Bebida Instantanea Te Melocoton Mfs 1800 Grs Mayca,Abarrotes,und,und,"Bebida Instantanea Te Melocoton Mfs,Bebidas Instantanea Te Melocoton Mfs",true
ABA-228,Bicarbonato,Abarrotes,paquete,paquete,"Bicarbotano,Bicarbonatos",true
ABA-225,Bocadillo C/ Crema Pastelera,Abarrotes,und,und,Bocadillos C/ Crema Pastelera,true
ABA-227,Bocadillo con Carne Molida,Abarrotes,und,und,Bocadillos con Carne Molida,true
ABA-223,Bocadillo Costilla C/ Fresa,Abarrotes,und,und,Bocadillos Costilla C/ Fresa,true
ABA-121,Bocadillo Costilla C/ Mora,Abarrotes,und,und,Bocadillos Costilla C/ Mora,true
ABA-224,Bocadillo Costilla C/ Piña,Abarrotes,und,und,Bocadillos Costilla C/ Piña,true
ABA-220,Bocadillo Costilla de Guayaba,Abarrotes,und,und,Bocadillos Costilla de Guayaba,true
ABA-252,Bocadillo de Fresa,Abarrotes,und,und,Bocadillos de Fresa,true
ABA-131,Bocadillo de Guayaba.,Abarrotes,und,und,Bocadillos de Guayaba.,true
ABA-222,Bocadillo de Jamón y Queso,Abarrotes,und,und,Bocadillos de Jamón y Queso,true
ABA-122,Bocadillo de palmito,Abarrotes,und,und,Bocadillos de palmito,true
ABA-123,Bocadillo de papa y carne,Abarrotes,und,und,"Bocadillo enchilada de papa y carne,Bocadillos de papa y carne",true
ABA-253,Bocadillo de Piña,Abarrotes,und,und,Bocadillos de Piña,true
ABA-226,Bocadillo de Pollo,Abarrotes,und,und,Bocadillos de Pollo,true
ABA-221,Bocadillo Empanada de Pollo,Abarrotes,und,und,Bocadillos Empanada de Pollo,true
ABA-219,Bocadillo Flauta C/ Mora,Abarrotes,und,und,Bocadillos Flauta C/ Mora,true
ABA-119,Bocadillo Flauta de Maracuya,Abarrotes,und,und,Bocadillos Flauta de Maracuya,true
ABA-218,Bocadillo Pañelito de Dulce de Leche,Abarrotes,und,und,Bocadillos Pañelito de Dulce de Leche,true
ABA-118,Canela Astilla 226 Grs,Abarrotes,und,und,"Canela Astilla,Canelas Astilla",true
ABA-216,Cereal Hojuela Maiz C/chocol. 1/1.2 Kg,Abarrotes,und,und,"Cereal Hojuela Maiz C/chocol. 1/,Cereales Hojuela Maiz C/chocol. 1/",true
ABA-215,Cereal Natural a Granel,Abarrotes,kg,kg,Cereales Natural a Granel,true
ABA-214,Cereal Raisin Bran,Abarrotes,paquete,paquete,Cereales Raisin Bran,true
ABA-213,Chile Chipotle,Abarrotes,und,und,Chiles Chipotle,true
ABA-211,Chile en escamas,Abarrotes,und,und,"CHILE ESCAMAS,Chiles en escamas,CHILE EN ESCAMAS (340 GR)",true
ABA-108,Chile Jalapeño Mitades S/ en Rodajas,Abarrotes,envase,"envase,kg",Chiles Jalapeño Mitades S/ en Rodajas,true
ABA-210,Chispas de Chocolate Hersheys,Abarrotes,paquete,paquete,,true
ABA-209,Coco Blanco Rayado 2 Kg,Abarrotes,paquete,paquete,"Coco Blanco Rayado,Cocos Blanco Rayado",true
ABA-208,Cocoa Amarga Kilo,Abarrotes,kg,kg,"Cocoa Amarga,Cocoas Amarga",true
ABA-207,Cocoa Dulce Instantaneo,Abarrotes,kg,kg,Cocoas Dulce Instantaneo,true
ABA-107,Consome de Pollo #1,Abarrotes,kg,kg,Consomes de Pollo #1,true
ABA-206,Consome Mariscos,Abarrotes,und,und,Consomes Mariscos,true
ABA-205,Consome Res 1/1kg,Abarrotes,und,und,"Consome Res 1/,Consomes Res 1/",true
ABA-135,Crema de Coco Mamá 15 Oz,Abarrotes,und,und,"Crema de Coco Mamá,Cremas de Coco Mamá",true
ABA-132,Crema Dulce Tetra Brik 1litro,Abarrotes,und,und,"Crema Dulce Tetra Brik,Cremas Dulce Tetra Brik",true
ABA-204,Croissant de 65 Grs,Abarrotes,und,und,"Croissant de,Croissantes de",true
ABA-203,Curry en Pasta ( Solicitud del Cheff ),Abarrotes,und,und,"Curry en Pasta,Curryes en Pasta",true
ABA-137,Empanizador de Pollo,Abarrotes,kg,kg,Empanizadores de Pollo,true
ABA-202,Envoltura Papel 15x10 3/4 ( Papel Encerado ),Abarrotes,und,und,"Envoltura Papel 15x10 3/4,Envolturas Papel 15x10 3/4",true
ABA-201,Frijoles Blancos Paq,Abarrotes,paquete,"paquete,kg",Frijoles Blancos,true
ABA-136,"Frijoles Rojo Don Pedro 2,0",Abarrotes,paquete,paquete,,true
ABA-200,Garbanzos en Paquete,Abarrotes,paquete,"paquete,kg",Garbanzos en,true
ABA-126,Garbanzos Lata,Abarrotes,lata,"lata,kg",,true
ABA-199,Granola Lustig Receta Casera,Abarrotes,kg,kg,Granolas Lustig Receta Casera,true
ABA-198,Harina Estandar 25 Kg,Abarrotes,bulto,bulto,"Harina Estandar,Harinas Estandar",true
ABA-197,Hierbas de Provenza,Abarrotes,frasco,"frasco,und","Hierbas de Provincia,hierbas provenzales",true
ABA-100,Hongos Rebanados Enlatados 2.840 Kg,Abarrotes,galón,galón,Hongos Rebanados Enlatados,true
ABA-196,Jalea Indiv D 4 Sabores 1/200 Und,Abarrotes,und,und,"Jalea Indiv D 4 Sabores 1/,Jaleas Indiv D 4 Sabores 1/",true
ABA-127,Jengibre para Sushi Tipo Gari Japones,Abarrotes,und,und,"Geingibre Para sushi tipo Gary Japones,Jengibres para Sushi Tipo Gari Japones",true
ABA-195,Jugo de Tomate C/chile 157 Ml (sin Chile),Abarrotes,und,und,"Jugo de Tomate C/chile,Jugos de Tomate C/chile",true
ABA-194,Lasagna Roma,Abarrotes,paquete,"paquete,g",Lasagnas Roma,true
ABA-001,Leche,Abarrotes,caja,"caja,L,botella,paquete","leches,caja de leche,cajas de leche",true
ABA-193,Leche de Coco en Lata,Abarrotes,und,und,Leches de Coco en Lata,true
ABA-102,"Leche Entera 3,5% Foodie 1/12 Lt",Abarrotes,und,und,"Leche Entera 3,5% Foodie 1/,Leches Entera 3,5% Foodie 1/",true
ABA-117,Leche Evaporada,Abarrotes,L,L,Leches Evaporada,true
ABA-192,Leche Soya Organica S/azucar,Abarrotes,envase,envase,Leches Soya Organica S/azucar,true
ABA-191,Lentejas Paquete,Abarrotes,paquete,paquete,Lentejas,true
ABA-190,Levadura Dulce Seca (unidad),Abarrotes,und,und,"Levadura Dulce Seca,Levaduras Dulce Seca",true
ABA-189,Levadura Salada Seca,Abarrotes,und,und,Levaduras Salada Seca,true
ABA-188,Lomo Churrasco,Abarrotes,kg,kg,Lomos Churrasco,true
ABA-114,Maiz Dulce Lata 3kg,Abarrotes,und,und,"Maiz Dulce Lata,Maices Dulce Lata",true
ABA-187,Maizena,Abarrotes,paquete,paquete,Maizenas,true
ABA-186,Mani Picado Kilo,Abarrotes,kg,kg,"Mani Picado,Manis Picado",true
ABA-185,Mantequilla sin Sal,Abarrotes,kg,kg,Mantequillas sin Sal,true
ABA-184,Masa de Maiz Amarilla Doña Arepa,Abarrotes,kg,kg,Masas de Maiz Amarilla Doña Arepa,true
ABA-183,Maseca 907 Grs,Abarrotes,paquete,paquete,"Maseca,Masecas",true
ABA-101,Mayonesa Galon,Abarrotes,galón,galón,"Mayonesa,Mayonesas",true
ABA-182,Mayonesa Individual en Sobres,Abarrotes,caja,"caja,und",Mayonesas Individual en Sobres,true
ABA-129,"Mermelada Balde 4,5 Kg Galon Guayaba",Abarrotes,galón,galón,"Mermelada Balde,Mermeladas Balde",true
ABA-181,"Mermelada Fresa 2,0",Abarrotes,galón,galón,"Mermeladas Fresa 2,0",true
ABA-180,"Mermelada Mora 2,0",Abarrotes,galón,galón,"Mermeladas Mora 2,0",true
ABA-116,"Mermelada Piña 2,0",Abarrotes,galón,galón,"Mermeladas Piña 2,0",true
ABA-113,"Mezcla Completa P/panqueques 2,0",Abarrotes,paquete,"paquete,kg","Mezclas Completa P/panqueques 2,0",true
ABA-179,Miel de Abeja,Abarrotes,botella,botella,Mieles de Abeja,true
ABA-259,Mini Muffin de Vainilla,Abarrotes,und,und,Minis Muffin de Vainilla,true
ABA-263,Mostaza Galon,Abarrotes,galón,galón,"Mostaza,Mostazas",true
ABA-256,Muffin de Chocolate,Abarrotes,und,und,Muffines de Chocolate,true
ABA-177,Nachos de Maiz con Sal,Abarrotes,und,und,,true
ABA-115,Palmito Entero Enlatado,Abarrotes,galón,galón,Palmitos Entero Enlatado,true
ABA-176,Pan Cena,Abarrotes,paquete,paquete,Panes Cena,true
ABA-140,Paprika,Abarrotes,frasco,frasco,Paprikas,true
ABA-175,Pasas Kilo,Abarrotes,kg,kg,Pasas,true
ABA-146,Pasta Caracolitos,Abarrotes,kg,kg,Pastas Caracolitos,true
ABA-144,Pasta Coditos,Abarrotes,kg,kg,Pastas Coditos,true
ABA-124,Pasta de Tomate Old Calif 3.14 Kg,Abarrotes,kg,kg,"Pasta de Tomate Old Calif,Pastas de Tomate Old Calif",true
ABA-174,Pasta Fetuchinne )( Tallarin ),Abarrotes,kg,kg,"Pasta Fetuchinne ),Pastas Fetuchinne )",true
ABA-173,Pasta Penne Rigatte (plumas),Abarrotes,kg,kg,"Pasta Penne Rigatte,Pastas Penne Rigatte",true
ABA-134,Pasta Spaguetti Kg,Abarrotes,kg,kg,"Pasta Spaguetti,Pastas Spaguetti",true
ABA-172,Pasta wasabi,Abarrotes,und,und,Pastas wasabi,true
ABA-171,Pejiballes Enteros,Abarrotes,galón,galón,,true
ABA-170,Pepinillos Rebanados Galon,Abarrotes,galón,galón,Pepinillos Rebanados,true
ABA-168,Quinoa Blanca,Abarrotes,und,und,Quinoas Blanca,true
ABA-169,"Quinoa Roja 2,0",Abarrotes,und,und,"Quinoas Roja 2,0",true
ABA-111,Sal Refinada Paq 1 Kilo,Abarrotes,kg,kg,"Sal Refinada,Sales Refinada",true
ABA-142,Salsa Bbq Regular,Abarrotes,galón,galón,Salsas Bbq Regular,true
ABA-167,Salsa Bufalo,Abarrotes,und,und,Salsas Bufalo,true
ABA-166,Salsa China Galon,Abarrotes,galón,galón,"Salsa China,Salsas China",true
ABA-128,Salsa de Tomate Galon,Abarrotes,galón,galón,"Salsa de Tomate,Salsas de Tomate",true
ABA-165,Salsa de Tomate Individual,Abarrotes,caja,caja,Salsas de Tomate Individual,true
ABA-164,Salsa Demiglace Gourmet 1.2 Kg,Abarrotes,und,und,"Salsa Demiglace Gourmet,Salsas Demiglace Gourmet",true
ABA-143,Salsa Inglesa ( Lizano ) Galon,Abarrotes,galón,galón,"Salsa Inglesa,Salsas Inglesa",true
ABA-163,Salsa Queso Cheddar Sysco 3.03 Kg,Abarrotes,galón,galón,"Salsa Queso Cheddar Sysco,Salsas Queso Cheddar Sysco",true
ABA-130,Salsa Soya Ligth 2.0,Abarrotes,galón,galón,"Salsas Soya Ligth 2.0,salsa soya light,soya ligera",true
ABA-162,Salsa Teriyaki Sauce Culinaire,Abarrotes,galón,galón,Salsas Teriyaki Sauce Culinaire,true
ABA-112,"Sazonador Completa 2,0",Abarrotes,und,und,"Sazonadores Completa 2,0",true
ABA-161,Sirope Caramelo Hersheys,Abarrotes,und,und,Siropes Caramelo Hersheys,true
ABA-141,Sirope Chocolate Hersheys,Abarrotes,und,und,Siropes Chocolate Hersheys,true
ABA-160,Sirope de Kola Rojo,Abarrotes,galón,galón,Siropes de Kola Rojo,true
ABA-159,Sirope para Panqueque Galon,Abarrotes,galón,galón,"Sirope para Panqueque,Siropes para Panqueque",true
ABA-251,Sriracha,Abarrotes,botella,botella,"SIRACHA,Srirachas",true
ABA-158,Tabasco ( Lizano ) Bot 62 Grs,Abarrotes,und,und,"Tabasco,Tabascos",true
ABA-157,Te 4 Frutas,Abarrotes,und,und,Tes 4 Frutas,true
ABA-156,Te de Menta,Abarrotes,und,und,Tes de Menta,true
ABA-155,Te Manzanilla Caja 100 U,Abarrotes,und,und,"Te Manzanilla,Tes Manzanilla",true
ABA-154,Te Negro Selecto,Abarrotes,paquete,paquete,Tes Negro Selecto,true
ABA-153,Te Verde,Abarrotes,caja,caja,Tes Verde,true
ABA-152,Vinagre Balsamico Aceto Di Modena,Abarrotes,galón,galón,Vinagres Balsamico Aceto Di Modena,true
ABA-151,Vinagre Blanco Sintetico Galon,Abarrotes,galón,galón,"Vinagre Blanco Sintetico,Vinagres Blanco Sintetico",true
ABA-145,Vinagre de Arroz Marukan,Abarrotes,galón,galón,Vinagres de Arroz Marukan,true
ABA-150,Vino Blanco Tetrabick,Abarrotes,L,L,Vinos Blanco Tetrabick,true
ABA-149,Vino Tinto Tetrabrick,Abarrotes,L,L,Vinos Tinto Tetrabrick,true
ABA-147,Vol au vent,Abarrotes,und,und,"VOLAUVENT,Voles au vent,volován,volovanes",true
FV-001,Aguacate Hass,Frutas y vegetales,kg,kg,aguacates hass,true
FV-002,Ají amarillo peruano,Frutas y vegetales,kg,kg,"ají amarillo,chile amarillo peruano,Ajís amarillo peruano",true
FV-003,Ajo entero con cáscara,Frutas y vegetales,kg,kg,"ajo cabeza,ajo sin pelar,Ajos entero con cáscara",true
FV-004,Ajo pelado,Frutas y vegetales,kg,kg,"ajo limpio,Ajos pelado",true
FV-005,Albahaca fresca,Frutas y vegetales,kg,kg,"albahaca,albahaca fresca rollo,Albahacas fresca",true
FV-006,Apio,Frutas y vegetales,kg,kg,"apio kg,Apios",true
FV-099,Arándanos,Frutas y vegetales,g,g,blueberries,true
FV-007,Ayote sazón,Frutas y vegetales,kg,kg,Ayotes sazón,true
FRU-001,Banano,Frutas y vegetales,und,"und,kg","bananos,banana,bananas",true
FV-009,Berenjena,Frutas y vegetales,und,und,"berengena,berenjenas",true
FV-010,Bok choy,Frutas y vegetales,rollo,rollo,"pak choi,pack choy,bock choy,bok choi,Bokes choy",true
FV-011,Brócoli,Frutas y vegetales,kg,kg,Brócolis,true
FV-012,Camote,Frutas y vegetales,kg,kg,camotes,true
FV-013,Cebolla blanca,Frutas y vegetales,kg,kg,"cebolla blanca kg,Cebollas blanca",true
FV-014,Cebolla morada,Frutas y vegetales,kg,kg,"cebolla morada kg,Cebollas morada",true
FV-015,Cebollín,Frutas y vegetales,rollo,rollo,"cebollino con cabeza,Cebollines",true
FV-037,Champiñón entero,Frutas y vegetales,cápsula,cápsula,"hongo champiñón,champignon entero,champiñones enteros,Champinones entero",true
FV-016,Chayote tierno quelite,Frutas y vegetales,und,und,"chayote tierno,chayote quelite,quellite,Chayotes tierno quelite",true
FV-017,Chile dulce de segunda,Frutas y vegetales,und,und,"chile dulce segunda,Chiles dulce de segunda",true
FV-018,Chile guajillo,Frutas y vegetales,kg,kg,"guajillo,Chiles guajillo",true
FV-019,Chile jalapeño,Frutas y vegetales,kg,kg,"jalapeño,Chiles jalapeño",true
FV-020,Chile panameño,Frutas y vegetales,kg,kg,Chiles panameño,true
FV-021,Chiverre grande,Frutas y vegetales,und,und,"chiverry,chiverre,Chiverres grande",true
FV-098,Ciboulette,Frutas y vegetales,paquete,paquete,"cibullet,cebollino fino,cebollín francés,Ciboulettes",true
FV-022,Ciruela,Frutas y vegetales,kg,kg,ciruelas,true
FV-023,Coco,Frutas y vegetales,und,und,cocos,true
FV-024,Coliflor,Frutas y vegetales,und,und,coliflores,true
FV-025,Culantro coyote,Frutas y vegetales,tamuga,tamuga,"culantro coyote 30 gramos,Culantros coyote",true
FV-026,Culantro de Castilla,Frutas y vegetales,tamuga,tamuga,"culantro popular,culantro castilla,culantro de castilla 30 gramos,Culantros de Castilla",true
FV-027,Elote blanco,Frutas y vegetales,und,und,"elotes blancos,Elotes blanco",true
FV-028,Elote dulce amarillo,Frutas y vegetales,bandeja,bandeja,"elote amarillo,elote dulce,Elotes dulce amarillo",true
FV-029,Eneldo,Frutas y vegetales,rollo,rollo,"eneldo fresco,Eneldos",true
FV-030,Espinaca deshojada,Frutas y vegetales,kg,kg,"espinaca desojada,espinaca hojas,Espinacas deshojada",true
FV-038,Flor de Jamaica,Frutas y vegetales,g,g,"jamaica,flor de jamaica seca,Flores de Jamaica",true
FV-031,Fresa,Frutas y vegetales,bandeja,"bandeja,und",fresas,true
FV-032,Frijol tierno,Frutas y vegetales,kg,kg,"frijoles tiernos,Frijoles tierno",true
FV-033,Granadilla,Frutas y vegetales,kg,kg,granadillas,true
FV-034,Hierbabuena,Frutas y vegetales,bolsa,bolsa,"hierba buena,hierbabuena 100 gramos,Hierbabuenas",true
FV-035,Hojas de chicasquil,Frutas y vegetales,g,g,"chicasquil,hojas chicasquil",true
FV-036,Hojas de plátano para tamal,Frutas y vegetales,kg,kg,"hojas de platano,hojas para tamal",true
FV-039,Jengibre,Frutas y vegetales,kg,kg,jengibres,true
FV-040,Kale morado,Frutas y vegetales,kg,kg,"col rizada morada,Kales morado",true
FV-041,Lechuga americana hidropónica,Frutas y vegetales,und,und,"lechuga americana,lechuga hidroponica,Lechugas americana hidropónica",true
FV-043,Lechuga baby variada,Frutas y vegetales,kg,kg,"lechuga variedad baby,mix de lechuga baby,Lechugas baby variada",true
FV-042,Lechuga escarola,Frutas y vegetales,und,und,"escarola,Lechugas escarola",true
FV-044,Limón mesino,Frutas y vegetales,und,und,"limón criollo,Limones mesino",true
FV-045,Maíz cascado,Frutas y vegetales,kg,kg,Maíces cascado,true
FV-046,Mamón chino,Frutas y vegetales,kg,kg,"rambután,Mamones chino",true
FV-048,Mandarina nacional,Frutas y vegetales,kg,kg,"mandarinas nacionales,Mandarinas nacional",true
FV-049,Manga pintona,Frutas y vegetales,kg,kg,"mango pintón,Mangas pintona",true
FV-050,Manzana Gala nacional económica calibre 150,Frutas y vegetales,kg,kg,"manzana gala nacional,manzana gala 150,Manzanas Gala nacional económica calibre 150",true
FV-051,Manzana Granny Smith grande calibre 170,Frutas y vegetales,kg,kg,"manzana granny,manzana verde grande,granny smith 170,Manzanas Granny Smith grande calibre 170",true
FV-047,Manzana Red calibre 150,Frutas y vegetales,kg,kg,"manzana red 150,manzana roja calibre 150,Manzanas Red calibre 150",true
FV-052,Maracuyá,Frutas y vegetales,und,und,"frutas de la pasión,Maracuyás",true
FRU-005,Melón,Frutas y vegetales,kg,"kg,und",melones,true
FV-054,Microgreens Vertigreens,Frutas y vegetales,caja,caja,"micro greens,microgreens,mizuna roja,mizuna verde,brote de remolacha",true
FV-055,Mini escalopín amarillo,Frutas y vegetales,kg,kg,"escalopin amarillo,mini squash amarillo,Minis escalopín amarillo",true
FV-095,Mini zanahoria heirloom,Frutas y vegetales,bandeja,bandeja,"zanahoria heirloom,zanahoria de colores,Minis zanahoria heirloom",true
FV-056,Mora grande,Frutas y vegetales,cápsula,cápsula,"moras grandes,Moras grande",true
FV-057,Mostaza china,Frutas y vegetales,und,und,"mostaza oriental,Mostazas china",true
FV-058,Naranja importada premium,Frutas y vegetales,und,und,"naranja importada,naranja premium,Naranjas importada premium",true
FV-059,Nectarina,Frutas y vegetales,kg,kg,nectarinas,true
FV-060,Ñame,Frutas y vegetales,kg,kg,Ñames,true
FV-061,Orégano fresco,Frutas y vegetales,rollo,rollo,"oregano,Oréganos fresco",true
FV-062,Papa blanca,Frutas y vegetales,kg,kg,"papas blancas,Papas blanca",true
FV-063,Papa semilla mini,Frutas y vegetales,kg,kg,"papa mini,papa semilla,Papas semilla mini",true
FRU-003,Papaya madura,Frutas y vegetales,kg,"kg,und","papaya,papayas maduras,Papayas madura",true
FV-065,Pejibaye cocinado,Frutas y vegetales,kg,kg,"pejiballe,pejibaye,Pejibayes cocinado",true
FV-066,Pepino,Frutas y vegetales,kg,kg,pepinos,true
FV-067,Pera mini calibre 120,Frutas y vegetales,und,und,"peras mini,pera 120,Peras mini calibre 120",true
FV-068,Perejil fresco,Frutas y vegetales,rollo,rollo,"perejil,perejil rollo,Perejiles fresco",true
FV-069,Piña,Frutas y vegetales,und,und,piñas,true
FRU-004,Plátano maduro,Frutas y vegetales,und,"und,kg","plátanos maduros,maduros,Plátanos maduro",true
FV-071,Plátano verde,Frutas y vegetales,und,und,"plátanos verdes,Plátanos verde",true
FV-072,Rabanito tierno pequeño,Frutas y vegetales,rollo,rollo,"rabanitos,rábano pequeño,Rabanitos tierno pequeño",true
FV-073,Radicchio,Frutas y vegetales,und,und,"radichio,Radicchios",true
FV-074,Remolacha,Frutas y vegetales,kg,kg,remolachas,true
FV-097,Remolacha heirloom,Frutas y vegetales,g,g,"remolacha heirlom,remolacha de colores,Remolachas heirloom",true
FV-075,Repollo morado,Frutas y vegetales,und,und,"col morada,Repollos morado",true
FV-076,Repollo verde,Frutas y vegetales,und,und,"repollo blanco,col verde,Repollos verde",true
FV-077,Romero fresco,Frutas y vegetales,rollo,rollo,"romero,Romeros fresco",true
FRU-002,Sandía negra,Frutas y vegetales,kg,"kg,und","sandía,Sandías negra",true
FV-079,Tacaco tierno,Frutas y vegetales,g,g,"tacacos tiernos,Tacacos tierno",true
FV-080,Tapa de dulce,Frutas y vegetales,tamuga,tamuga,"tapas de dulce,panela",true
FV-081,Tomate cherry uva a granel,Frutas y vegetales,kg,kg,"tomate cherry,tomate uva,tomate uvita,Tomates cherry uva a granel",true
FV-082,Tomate de árbol,Frutas y vegetales,kg,kg,Tomates de árbol,true
FV-083,Tomate de tercera,Frutas y vegetales,kg,kg,"tomate tercera,Tomates de tercera",true
FV-096,Tomate heirloom,Frutas y vegetales,kg,kg,"tomate heirlom,tomate de herencia,Tomates heirloom",true
FV-084,Tomate verde mexicano,Frutas y vegetales,kg,kg,"tomatillo,tomate verde,tomate mexicano,Tomates verde mexicano",true
FV-085,Tomillo fresco,Frutas y vegetales,bandeja,"bandeja,und","tomillo,Tomillos fresco",true
FV-086,Uchuva pelada,Frutas y vegetales,bandeja,bandeja,"uchuvas,uchuva 250 gramos,Uchuvas pelada",true
FV-087,Uva globo,Frutas y vegetales,kg,kg,uvas globo,true
FV-088,Uva verde sin semilla,Frutas y vegetales,kg,kg,"uva verde,uvas verdes sin semilla,Uvas verde sin semilla",true
FV-089,Vainica mini,Frutas y vegetales,kg,kg,"vainicas mini,judías verdes mini",true
FV-090,Yuca,Frutas y vegetales,kg,kg,yucas,true
FV-091,Zanahoria fresca,Frutas y vegetales,kg,kg,"zanahorias,Zanahorias fresca",true
FV-092,Zanahoria mini,Frutas y vegetales,bandeja,bandeja,"mini zanahoria,Zanahorias mini",true
FV-093,Zucchini,Frutas y vegetales,und,und,"zuquiini,zuquini,calabacín,Zucchinis",true
FV-094,Zucchini mini bebé,Frutas y vegetales,bandeja,bandeja,"zuquini mini,zucchini bebé,calabacín bebé,Zucchinis mini bebé",true
PRO-010,Alas de Pollo,Proteínas,kg,kg,"alitas de pollo,alas",true
PRO-022,Atún Sushi Vietnan,Proteínas,kg,kg,"Atunes Sushi Vietnan,atún para sushi,atún sushi,atún vietnam",true
PRO-003,Bistec Res,Proteínas,kg,kg,"Bisteces Res,bistec de res,bistec",true
PRO-005,Camarón 2.5 Kg sin Cola,Proteínas,paquete,"paquete,kg","Camarón,Camarones,camarón sin cola,camarones sin cola",true
PRO-017,Carne Molida,Proteínas,kg,kg,"Carnes Molida,molida,carne de res molida",true
PRO-018,Costilla de Res Picado,Proteínas,kg,kg,"Costillas de Res Picado,costilla de res picada,costilla de res",true
PRO-002,Fajitas de Pollo,Proteínas,kg,kg,"pollo en fajitas,tiras de pollo",true
PRO-014,Fajitas de Res,Proteínas,kg,kg,"res en fajitas,tiras de res",true
PRO-001,Filete de Pechuga de Pollo Fresco,Proteínas,kg,kg,"FILET DE PECHUGA DE POLLO FRESCO,Filetes de Pechuga de Pollo Fresco,pechuga de pollo,filete de pollo,pechuga fresca",true
PRO-004,"Filete Tilapia Kg 4,54 Kg Cada Caja",Proteínas,kg,kg,"FILET TILAPIA KG 4,54 KG CADA CAJA,Filete Tilapia,Filetes Tilapia,filete de tilapia,tilapia",true
PRO-011,Lomito de Res,Proteínas,kg,kg,"Lomitos de Res,lomito,filete de res",true
